GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FelipeD_SistemaBancario,com.mycompany.entities,ContaPoupanca,0,31,0,4,0,7,0,4,0,2
FelipeD_SistemaBancario,com.mycompany.entities,ContaCorrente,0,54,0,8,0,12,0,8,0,4
FelipeD_SistemaBancario,com.mycompany.entities,ContaSalario,0,6,0,0,0,3,0,2,0,2
FelipeD_SistemaBancario,com.mycompany.entities,Historico,0,71,0,8,0,18,0,8,0,4
FelipeD_SistemaBancario,com.mycompany.entities,Conta,3,61,0,10,1,16,1,10,1,5
FelipeD_SistemaBancario,com.mycompany.entities,Operacao,15,18,0,0,7,7,4,3,4,3
FelipeD_SistemaBancario,com.mycompany.entities,Titular,14,9,0,0,6,4,4,1,4,1
FelipeD_SistemaBancario,com.mycompany.sistemabancario,Main,7,0,0,0,3,0,2,0,2,0
